350: Sorry!  ; cur: 4, Avg: 4.117143
351: Sorry!  ; cur: 1, Avg: 4.108262
352: Sorry!  ; cur: 9, Avg: 4.122159
353: Sorry!  ; cur: 1, Avg: 4.113314
354: Sorry!  ; cur: 3, Avg: 4.110169
355: Sorry!  ; cur: 1, Avg: 4.101408
356: Sorry!  ; cur: 1, Avg: 4.092697
357: Sorry!  ; cur: 1, Avg: 4.084034
358: Sorry!  ; cur: 3, Avg: 4.081006
359: Sorry!  ; cur: 1, Avg: 4.072423
360: Sorry!  ; cur: 1, Avg: 4.063889
361: Sorry!  ; cur: 1, Avg: 4.055402
362: Sorry!  ; cur: 3, Avg: 4.052486
363: Sorry!  ; cur: 3, Avg: 4.049587
364: Sorry!  ; cur: 1, Avg: 4.041209
365: Sorry!  ; cur: 25, Avg: 4.098630
366: Sorry!  ; cur: 2, Avg: 4.092896
367: Sorry!  ; cur: 6, Avg: 4.098093
368: Sorry!  ; cur: 1, Avg: 4.089674
369: Sorry!  ; cur: 3, Avg: 4.086721
370: Sorry!  ; cur: 7, Avg: 4.094595
371: Sorry!  ; cur: 1, Avg: 4.086253
372: Sorry!  ; cur: 4, Avg: 4.086022
373: Sorry!  ; cur: 1, Avg: 4.077748
374: Sorry!  ; cur: 1, Avg: 4.069519
375: Sorry!  ; cur: 1, Avg: 4.061333
376: Sorry!  ; cur: 1, Avg: 4.053191
377: Sorry!  ; cur: 2, Avg: 4.047745
378: Sorry!  ; cur: 10, Avg: 4.063492
379: Sorry!  ; cur: 5, Avg: 4.065963
380: Sorry!  ; cur: 1, Avg: 4.057895
381: Sorry!  ; cur: 13, Avg: 4.081365
382: Sorry!  ; cur: 2, Avg: 4.075916
383: Sorry!  ; cur: 1, Avg: 4.067885
384: Sorry!  ; cur: 3, Avg: 4.065104
385: Sorry!  ; cur: 1, Avg: 4.057143
386: Sorry!  ; cur: 2, Avg: 4.051813
387: Sorry!  ; cur: 2, Avg: 4.046512
388: Sorry!  ; cur: 1, Avg: 4.038660
389: Sorry!  ; cur: 1, Avg: 4.030848
390: Sorry!  ; cur: 1, Avg: 4.023077
391: Sorry!  ; cur: 2, Avg: 4.017903
392: Sorry!  ; cur: 22, Avg: 4.063776
393: Sorry!  ; cur: 5, Avg: 4.066158
394: Sorry!  ; cur: 5, Avg: 4.068528
395: Sorry!  ; cur: 1, Avg: 4.060759
396: Sorry!  ; cur: 1, Avg: 4.053030
397: Sorry!  ; cur: 3, Avg: 4.050378
398: Sorry!  ; cur: 4, Avg: 4.050251
399: Sorry!  ; cur: 1, Avg: 4.042607
400: Sorry!  ; cur: 2, Avg: 4.037500
401: Sorry!  ; cur: 22, Avg: 4.082294
402: Sorry!  ; cur: 2, Avg: 4.077114
403: Sorry!  ; cur: 5, Avg: 4.079404
404: Sorry!  ; cur: 6, Avg: 4.084158
405: Sorry!  ; cur: 11, Avg: 4.101235
406: Sorry!  ; cur: 5, Avg: 4.103448
407: Sorry!  ; cur: 1, Avg: 4.095823
408: Sorry!  ; cur: 1, Avg: 4.088235
409: Sorry!  ; cur: 1, Avg: 4.080685
410: Sorry!  ; cur: 1, Avg: 4.073171
411: Sorry!  ; cur: 3, Avg: 4.070560
412: Sorry!  ; cur: 1, Avg: 4.063107
413: Sorry!  ; cur: 4, Avg: 4.062954
414: Sorry!  ; cur: 4, Avg: 4.062802
415: Sorry!  ; cur: 1, Avg: 4.055422
416: Sorry!  ; cur: 3, Avg: 4.052885
417: Sorry!  ; cur: 2, Avg: 4.047962
418: Sorry!  ; cur: 1, Avg: 4.040670
419: Sorry!  ; cur: 2, Avg: 4.035800
420: Sorry!  ; cur: 3, Avg: 4.033333
421: Sorry!  ; cur: 1, Avg: 4.026128
422: Sorry!  ; cur: 1, Avg: 4.018957
423: Sorry!  ; cur: 1, Avg: 4.011820
424: Sorry!  ; cur: 2, Avg: 4.007075
425: Sorry!  ; cur: 1, Avg: 4.000000
426: Sorry!  ; cur: 8, Avg: 4.009390
427: Sorry!  ; cur: 10, Avg: 4.023419
428: Sorry!  ; cur: 1, Avg: 4.016355
429: Sorry!  ; cur: 1, Avg: 4.009324
430: Sorry!  ; cur: 31, Avg: 4.072093
431: Sorry!  ; cur: 2, Avg: 4.067285
432: Sorry!  ; cur: 2, Avg: 4.062500
433: Sorry!  ; cur: 15, Avg: 4.087760
434: Sorry!  ; cur: 2, Avg: 4.082949
435: Sorry!  ; cur: 4, Avg: 4.082759
436: Sorry!  ; cur: 2, Avg: 4.077982
437: Sorry!  ; cur: 3, Avg: 4.075515
438: Sorry!  ; cur: 1, Avg: 4.068493
439: Sorry!  ; cur: 1, Avg: 4.061503
440: Sorry!  ; cur: 10, Avg: 4.075000
441: Sorry!  ; cur: 7, Avg: 4.081633
442: Sorry!  ; cur: 4, Avg: 4.081448
443: Sorry!  ; cur: 2, Avg: 4.076749
444: Sorry!  ; cur: 13, Avg: 4.096847
445: Sorry!  ; cur: 7, Avg: 4.103371
446: Sorry!  ; cur: 8, Avg: 4.112108
447: Sorry!  ; cur: 5, Avg: 4.114094
448: Sorry!  ; cur: 4, Avg: 4.113839
449: Sorry!  ; cur: 3, Avg: 4.111359
450: Sorry!  ; cur: 1, Avg: 4.104444
451: Sorry!  ; cur: 4, Avg: 4.104213
452: Sorry!  ; cur: 1, Avg: 4.097345
453: Sorry!  ; cur: 3, Avg: 4.094923
454: Sorry!  ; cur: 1, Avg: 4.088106
455: Sorry!  ; cur: 10, Avg: 4.101099
456: Sorry!  ; cur: 3, Avg: 4.098684
457: Sorry!  ; cur: 3, Avg: 4.096280
458: Sorry!  ; cur: 2, Avg: 4.091703
459: Sorry!  ; cur: 2, Avg: 4.087146
460: Sorry!  ; cur: 1, Avg: 4.080435
461: Sorry!  ; cur: 6, Avg: 4.084599
462: Sorry!  ; cur: 7, Avg: 4.090909
463: Sorry!  ; cur: 4, Avg: 4.090713
464: Sorry!  ; cur: 1, Avg: 4.084052
465: Sorry!  ; cur: 2, Avg: 4.079570
466: Sorry!  ; cur: 7, Avg: 4.085837
467: Sorry!  ; cur: 9, Avg: 4.096360
468: Sorry!  ; cur: 1, Avg: 4.089744
469: Sorry!  ; cur: 14, Avg: 4.110874
470: Sorry!  ; cur: 6, Avg: 4.114894
471: Sorry!  ; cur: 1, Avg: 4.108280
472: Sorry!  ; cur: 2, Avg: 4.103814
473: Sorry!  ; cur: 6, Avg: 4.107822
474: Sorry!  ; cur: 2, Avg: 4.103376
475: Sorry!  ; cur: 17, Avg: 4.130526
476: Sorry!  ; cur: 1, Avg: 4.123950
477: Sorry!  ; cur: 9, Avg: 4.134172
478: Sorry!  ; cur: 1, Avg: 4.127615
479: Sorry!  ; cur: 1, Avg: 4.121086
480: Sorry!  ; cur: 12, Avg: 4.137500
481: Sorry!  ; cur: 1, Avg: 4.130977
482: Sorry!  ; cur: 3, Avg: 4.128631
483: Sorry!  ; cur: 3, Avg: 4.126294
484: Sorry!  ; cur: 3, Avg: 4.123967
485: Sorry!  ; cur: 1, Avg: 4.117526
486: Sorry!  ; cur: 4, Avg: 4.117284
487: Sorry!  ; cur: 3, Avg: 4.114990
488: Sorry!  ; cur: 1, Avg: 4.108607
489: Sorry!  ; cur: 3, Avg: 4.106339
490: Sorry!  ; cur: 13, Avg: 4.124490
491: Sorry!  ; cur: 7, Avg: 4.130346
492: Sorry!  ; cur: 1, Avg: 4.123984
493: Sorry!  ; cur: 1, Avg: 4.117647
494: Sorry!  ; cur: 18, Avg: 4.145749
495: Sorry!  ; cur: 13, Avg: 4.163636
496: Sorry!  ; cur: 1, Avg: 4.157258
497: Sorry!  ; cur: 2, Avg: 4.152918
498: Sorry!  ; cur: 1, Avg: 4.146586
499: Sorry!  ; cur: 2, Avg: 4.142285
500: Sorry!  ; cur: 2, Avg: 4.138000
501: Sorry!  ; cur: 2, Avg: 4.133733
502: Sorry!  ; cur: 1, Avg: 4.127490
503: Sorry!  ; cur: 3, Avg: 4.125249
504: Sorry!  ; cur: 1, Avg: 4.119048
505: Sorry!  ; cur: 4, Avg: 4.118812
506: Sorry!  ; cur: 2, Avg: 4.114625
507: Sorry!  ; cur: 5, Avg: 4.116371
508: Sorry!  ; cur: 2, Avg: 4.112205
509: Sorry!  ; cur: 17, Avg: 4.137525
510: Sorry!  ; cur: 1, Avg: 4.131373
511: Sorry!  ; cur: 1, Avg: 4.125245
512: Sorry!  ; cur: 1, Avg: 4.119141
513: Sorry!  ; cur: 1, Avg: 4.113060
514: Sorry!  ; cur: 15, Avg: 4.134241
515: Sorry!  ; cur: 3, Avg: 4.132039
516: Sorry!  ; cur: 1, Avg: 4.125969
517: Sorry!  ; cur: 1, Avg: 4.119923
518: Sorry!  ; cur: 10, Avg: 4.131274
519: Sorry!  ; cur: 2, Avg: 4.127168
520: Sorry!  ; cur: 1, Avg: 4.121154
521: Sorry!  ; cur: 2, Avg: 4.117083
522: Sorry!  ; cur: 4, Avg: 4.116858
523: Sorry!  ; cur: 5, Avg: 4.118547
524: Sorry!  ; cur: 7, Avg: 4.124046
525: Sorry!  ; cur: 2, Avg: 4.120000
526: Sorry!  ; cur: 1, Avg: 4.114068
527: Sorry!  ; cur: 3, Avg: 4.111954
528: Sorry!  ; cur: 1, Avg: 4.106061
529: Sorry!  ; cur: 1, Avg: 4.100189
530: Sorry!  ; cur: 1, Avg: 4.094340
531: Sorry!  ; cur: 3, Avg: 4.092279
532: Sorry!  ; cur: 5, Avg: 4.093985
533: Sorry!  ; cur: 11, Avg: 4.106942
534: Sorry!  ; cur: 1, Avg: 4.101124
535: Sorry!  ; cur: 3, Avg: 4.099065
536: Sorry!  ; cur: 2, Avg: 4.095149
537: Sorry!  ; cur: 1, Avg: 4.089385
538: Sorry!  ; cur: 2, Avg: 4.085502
