440: Sorry!  ; cur: 2, Avg: 3.965909
441: Sorry!  ; cur: 1, Avg: 3.959184
442: Sorry!  ; cur: 1, Avg: 3.952489
443: Sorry!  ; cur: 2, Avg: 3.948081
444: Sorry!  ; cur: 6, Avg: 3.952703
445: Sorry!  ; cur: 2, Avg: 3.948315
446: Sorry!  ; cur: 4, Avg: 3.948430
447: Sorry!  ; cur: 2, Avg: 3.944072
448: Sorry!  ; cur: 4, Avg: 3.944196
449: Sorry!  ; cur: 1, Avg: 3.937639
450: Sorry!  ; cur: 1, Avg: 3.931111
451: Sorry!  ; cur: 4, Avg: 3.931264
452: Sorry!  ; cur: 7, Avg: 3.938053
453: Sorry!  ; cur: 6, Avg: 3.942605
454: Sorry!  ; cur: 1, Avg: 3.936123
455: Sorry!  ; cur: 2, Avg: 3.931868
456: Sorry!  ; cur: 7, Avg: 3.938596
457: Sorry!  ; cur: 10, Avg: 3.951860
458: Sorry!  ; cur: 8, Avg: 3.960699
459: Sorry!  ; cur: 3, Avg: 3.958606
460: Sorry!  ; cur: 1, Avg: 3.952174
461: Sorry!  ; cur: 4, Avg: 3.952278
462: Sorry!  ; cur: 2, Avg: 3.948052
463: Sorry!  ; cur: 4, Avg: 3.948164
464: Sorry!  ; cur: 4, Avg: 3.948276
465: Sorry!  ; cur: 4, Avg: 3.948387
466: Sorry!  ; cur: 1, Avg: 3.942060
467: Sorry!  ; cur: 1, Avg: 3.935760
468: Sorry!  ; cur: 8, Avg: 3.944444
469: Sorry!  ; cur: 3, Avg: 3.942431
470: Sorry!  ; cur: 3, Avg: 3.940426
471: Sorry!  ; cur: 1, Avg: 3.934183
472: Sorry!  ; cur: 6, Avg: 3.938559
473: Sorry!  ; cur: 2, Avg: 3.934461
474: Sorry!  ; cur: 3, Avg: 3.932489
475: Sorry!  ; cur: 14, Avg: 3.953684
476: Sorry!  ; cur: 1, Avg: 3.947479
477: Sorry!  ; cur: 13, Avg: 3.966457
478: Sorry!  ; cur: 1, Avg: 3.960251
479: Sorry!  ; cur: 5, Avg: 3.962422
480: Sorry!  ; cur: 4, Avg: 3.962500
481: Sorry!  ; cur: 2, Avg: 3.958420
482: Sorry!  ; cur: 1, Avg: 3.952282
483: Sorry!  ; cur: 3, Avg: 3.950311
484: Sorry!  ; cur: 1, Avg: 3.944215
485: Sorry!  ; cur: 3, Avg: 3.942268
486: Sorry!  ; cur: 3, Avg: 3.940329
487: Sorry!  ; cur: 1, Avg: 3.934292
488: Sorry!  ; cur: 2, Avg: 3.930328
489: Sorry!  ; cur: 5, Avg: 3.932515
490: Sorry!  ; cur: 4, Avg: 3.932653
491: Sorry!  ; cur: 1, Avg: 3.926680
492: Sorry!  ; cur: 2, Avg: 3.922764
493: Sorry!  ; cur: 1, Avg: 3.916836
494: Sorry!  ; cur: 1, Avg: 3.910931
495: Sorry!  ; cur: 6, Avg: 3.915152
496: Sorry!  ; cur: 3, Avg: 3.913306
497: Sorry!  ; cur: 3, Avg: 3.911469
498: Sorry!  ; cur: 1, Avg: 3.905622
499: Sorry!  ; cur: 3, Avg: 3.903808
500: Sorry!  ; cur: 1, Avg: 3.898000
501: Sorry!  ; cur: 10, Avg: 3.910180
502: Sorry!  ; cur: 3, Avg: 3.908367
503: Sorry!  ; cur: 1, Avg: 3.902584
504: Sorry!  ; cur: 3, Avg: 3.900794
505: Sorry!  ; cur: 1, Avg: 3.895050
506: Sorry!  ; cur: 3, Avg: 3.893281
507: Sorry!  ; cur: 2, Avg: 3.889546
508: Sorry!  ; cur: 4, Avg: 3.889764
509: Sorry!  ; cur: 4, Avg: 3.889980
510: Sorry!  ; cur: 10, Avg: 3.901961
511: Sorry!  ; cur: 1, Avg: 3.896282
512: Sorry!  ; cur: 1, Avg: 3.890625
513: Sorry!  ; cur: 4, Avg: 3.890838
514: Sorry!  ; cur: 6, Avg: 3.894942
515: Sorry!  ; cur: 1, Avg: 3.889320
516: Sorry!  ; cur: 2, Avg: 3.885659
517: Sorry!  ; cur: 4, Avg: 3.885880
518: Sorry!  ; cur: 10, Avg: 3.897683
519: Sorry!  ; cur: 5, Avg: 3.899807
520: Sorry!  ; cur: 17, Avg: 3.925000
521: Sorry!  ; cur: 1, Avg: 3.919386
522: Sorry!  ; cur: 2, Avg: 3.915709
523: Sorry!  ; cur: 4, Avg: 3.915870
524: Sorry!  ; cur: 7, Avg: 3.921756
525: Sorry!  ; cur: 7, Avg: 3.927619
526: Sorry!  ; cur: 1, Avg: 3.922053
527: Sorry!  ; cur: 2, Avg: 3.918406
528: Sorry!  ; cur: 1, Avg: 3.912879
529: Sorry!  ; cur: 2, Avg: 3.909263
530: Sorry!  ; cur: 1, Avg: 3.903774
531: Sorry!  ; cur: 4, Avg: 3.903955
532: Sorry!  ; cur: 1, Avg: 3.898496
533: Sorry!  ; cur: 3, Avg: 3.896811
534: Sorry!  ; cur: 1, Avg: 3.891386
535: Sorry!  ; cur: 11, Avg: 3.904673
536: Sorry!  ; cur: 1, Avg: 3.899254
537: Sorry!  ; cur: 2, Avg: 3.895717
538: Sorry!  ; cur: 2, Avg: 3.892193
